timestamp,member,present
1539328891,user3,"['user6', 'user8', 'user4', 'user7']"
1539329595,user9,['user5']
1539329930,user6,"['user5', 'user0', 'user9', 'user7', 'user2']"
1539330220,user2,"['user3', 'user9', 'user4', 'user6', 'user0', 'user8', 'user7']"
1539330492,user2,"['user6', 'user0', 'user7', 'user3', 'user4', 'user9']"
1539331404,user2,"['user4', 'user1']"
1539332112,user7,"['user2', 'user1', 'user6', 'user9', 'user0', 'user8']"
1539332477,user0,"['user6', 'user1', 'user9', 'user5', 'user4']"
1539333475,user6,"['user3', 'user2', 'user5', 'user8', 'user7', 'user1']"
1539333562,user0,"['user9', 'user3', 'user2', 'user6', 'user4']"
1539334484,user3,"['user8', 'user5', 'user7', 'user1', 'user0', 'user6']"
1539335261,user8,"['user7', 'user3', 'user0', 'user2', 'user6', 'user9', 'user1']"
1539335982,user0,"['user4', 'user6', 'user7', 'user8', 'user5', 'user3']"
1539336828,user4,"['user1', 'user7', 'user3', 'user5', 'user8', 'user6', 'user9']"
1539337659,user4,"['user5', 'user6']"
1539338316,user4,"['user8', 'user2', 'user0', 'user7', 'user1']"
1539338730,user8,"['user4', 'user5', 'user6', 'user3', 'user1', 'user2']"
1539339567,user7,"['user9', 'user5', 'user4', 'user1', 'user8']"
1539340295,user8,"['user4', 'user6', 'user1', 'user5', 'user2']"
1539340712,user1,['user8']
1539341213,user2,"['user7', 'user9', 'user4']"
1539342055,user3,"['user9', 'user4', 'user7', 'user6', 'user5']"
1539342863,user4,"['user1', 'user6', 'user5', 'user0', 'user8', 'user2', 'user7', 'user9']"
1539342908,user9,"['user8', 'user6', 'user1', 'user4', 'user5', 'user7', 'user2', 'user0']"
1539343811,user8,"['user0', 'user5', 'user3', 'user4', 'user6', 'user1', 'user2']"
1539343844,user8,"['user4', 'user2', 'user5', 'user6', 'user7']"
1539344073,user8,"['user6', 'user7', 'user2']"
1539344158,user4,"['user1', 'user3', 'user8']"
1539344557,user9,"['user5', 'user2', 'user0']"
1539345169,user1,['user2']
1539345972,user0,"['user4', 'user5', 'user6']"
1539346400,user9,['user5']
1539346959,user3,"['user2', 'user8', 'user4', 'user1', 'user6']"
1539347826,user7,"['user4', 'user3', 'user5', 'user6', 'user8', 'user0', 'user2']"
1539348495,user9,"['user2', 'user4']"
1539348618,user5,"['user3', 'user4', 'user9']"
1539348913,user3,"['user4', 'user9', 'user5', 'user8', 'user6', 'user1']"
1539348920,user5,"['user0', 'user7', 'user1', 'user8', 'user9', 'user3', 'user6', 'user4']"
1539349776,user8,['user5']
1539350615,user4,"['user6', 'user8', 'user1']"
1539350902,user9,"['user0', 'user6', 'user2']"
1539351899,user2,"['user0', 'user7', 'user5', 'user1', 'user4', 'user8']"
1539352369,user0,"['user8', 'user4']"
1539352945,user7,"['user1', 'user2', 'user9', 'user6', 'user3']"
1539353343,user1,"['user2', 'user3', 'user0']"
1539353905,user4,"['user3', 'user6', 'user1', 'user2', 'user0']"
1539354216,user9,"['user7', 'user4', 'user2', 'user5', 'user0']"
1539354307,user0,"['user1', 'user4']"
1539354550,user9,"['user5', 'user2', 'user0']"
1539354569,user9,"['user5', 'user4', 'user7', 'user3']"
1539355454,user5,"['user4', 'user7', 'user6', 'user0']"
1539355647,user0,"['user6', 'user1', 'user5', 'user9', 'user4']"
1539356620,user8,"['user6', 'user9', 'user2']"
1539356971,user5,"['user0', 'user4', 'user7', 'user6']"
1539357607,user9,['user5']
1539358581,user7,"['user6', 'user0', 'user1', 'user9', 'user4', 'user8', 'user3']"
1539359352,user2,"['user5', 'user4']"
1539359972,user7,"['user2', 'user9']"
1539360376,user8,"['user0', 'user3', 'user5', 'user6', 'user7', 'user1', 'user2']"
1539361346,user0,"['user3', 'user7', 'user1', 'user6', 'user2', 'user4']"
1539361353,user0,"['user4', 'user1', 'user2']"
1539361482,user5,"['user0', 'user7', 'user8']"
1539362213,user2,"['user3', 'user1', 'user4']"
1539362885,user0,"['user3', 'user7', 'user2', 'user4']"
1539363083,user2,"['user9', 'user8', 'user4']"
1539363920,user6,"['user7', 'user1', 'user0', 'user9', 'user4', 'user3', 'user2']"
1539364492,user8,"['user4', 'user1', 'user7', 'user2', 'user6', 'user3', 'user0']"
1539365003,user2,"['user5', 'user6', 'user8', 'user4']"
1539365859,user0,"['user3', 'user1', 'user4']"
1539366354,user6,"['user3', 'user2']"
1539366591,user0,"['user2', 'user6', 'user4']"
1539366822,user3,"['user1', 'user9', 'user0', 'user7', 'user6']"
1539367351,user0,"['user9', 'user3', 'user4']"
1539367588,user9,"['user8', 'user3', 'user5', 'user6', 'user4']"
1539367778,user8,"['user3', 'user6', 'user1', 'user4', 'user2', 'user9', 'user5']"
1539368025,user2,"['user6', 'user7', 'user8', 'user1', 'user3', 'user4']"
1539368445,user8,"['user4', 'user0', 'user7', 'user6', 'user1', 'user5', 'user9', 'user3', 'user2']"
1539368515,user8,"['user6', 'user0', 'user5', 'user7', 'user2']"
1539369481,user1,"['user0', 'user4']"
1539369744,user1,"['user3', 'user2', 'user8', 'user5']"
1539370436,user1,"['user7', 'user4', 'user3']"
1539371107,user5,"['user1', 'user2', 'user8', 'user0']"
1539371602,user0,"['user3', 'user6', 'user2', 'user4', 'user9']"
1539372243,user5,"['user1', 'user0', 'user8', 'user3', 'user4', 'user6']"
1539372657,user6,"['user5', 'user3', 'user0', 'user2', 'user7']"
1539372943,user0,"['user7', 'user6', 'user8', 'user3', 'user4']"
1539373158,user6,"['user7', 'user5', 'user4', 'user2']"
1539373788,user0,"['user7', 'user4', 'user8']"
1539374181,user2,"['user0', 'user4']"
1539374813,user3,"['user8', 'user6', 'user5', 'user9']"
1539375648,user8,"['user7', 'user2']"
1539376005,user9,"['user8', 'user4', 'user7']"
1539376238,user2,['user4']
1539376607,user7,"['user8', 'user1', 'user6']"
1539377026,user5,"['user9', 'user3', 'user1', 'user8', 'user0', 'user2', 'user4']"
1539377047,user4,"['user8', 'user1', 'user5', 'user9', 'user6']"
1539377114,user2,"['user1', 'user7', 'user8', 'user0', 'user5', 'user9', 'user3', 'user4']"
1539378090,user3,"['user1', 'user2', 'user6', 'user7', 'user8']"
1539378276,user9,"['user6', 'user4', 'user7', 'user0', 'user1', 'user2']"
1539378412,user4,"['user0', 'user3']"
1539379252,user1,"['user8', 'user2', 'user4', 'user7']"
1539379536,user6,"['user9', 'user7', 'user8', 'user2', 'user5', 'user1', 'user3']"
1539379843,user0,"['user7', 'user4']"
1539379860,user6,"['user2', 'user4']"
1539380334,user9,"['user6', 'user5', 'user1', 'user4', 'user8', 'user2']"
1539380384,user8,"['user2', 'user6', 'user4', 'user0', 'user1', 'user3']"
1539380632,user0,"['user4', 'user5', 'user9', 'user7', 'user1', 'user8', 'user6']"
1539380723,user6,"['user0', 'user9', 'user8', 'user2']"
1539381103,user0,"['user7', 'user8', 'user2', 'user3', 'user4']"
1539381905,user7,"['user0', 'user6']"
1539382449,user2,"['user0', 'user9', 'user6', 'user1', 'user4']"
1539382754,user2,"['user4', 'user7']"
1539382988,user0,"['user8', 'user3', 'user6', 'user4']"
1539383044,user2,"['user5', 'user1', 'user4']"
1539383595,user2,"['user6', 'user9', 'user4']"
1539383632,user7,"['user5', 'user3', 'user2', 'user8', 'user4', 'user1']"
1539384579,user8,"['user4', 'user9', 'user5', 'user2', 'user7', 'user0']"
1539384858,user4,"['user1', 'user2', 'user8', 'user5', 'user9', 'user3', 'user7', 'user0']"
1539385129,user6,"['user9', 'user8', 'user5', 'user7', 'user1', 'user2']"
1539385466,user1,"['user7', 'user6']"
1539386454,user9,"['user8', 'user3', 'user6']"
1539386868,user2,"['user3', 'user4']"
1539387261,user2,"['user6', 'user4']"
1539387993,user3,"['user2', 'user1', 'user9', 'user6']"
1539388186,user9,"['user3', 'user7', 'user0', 'user2', 'user8']"
1539388527,user3,"['user7', 'user6', 'user4', 'user2', 'user0', 'user9', 'user1']"
1539389501,user9,"['user5', 'user0']"
1539390117,user3,"['user9', 'user7', 'user4', 'user2', 'user6']"
1539390128,user5,"['user7', 'user9', 'user0', 'user3', 'user6', 'user1']"
1539390333,user8,"['user5', 'user2', 'user6']"
1539390649,user9,"['user5', 'user4', 'user3', 'user0', 'user6']"
1539390729,user0,"['user7', 'user6', 'user8', 'user4']"
1539390864,user1,"['user6', 'user5', 'user8', 'user0', 'user7', 'user2']"
1539391017,user0,"['user7', 'user2', 'user9', 'user3', 'user8', 'user4']"
1539391237,user7,"['user8', 'user4', 'user0', 'user1', 'user3', 'user9', 'user2', 'user5']"
1539391478,user5,"['user2', 'user3']"
1539391834,user6,"['user8', 'user3', 'user5', 'user2', 'user0']"
1539392140,user9,"['user3', 'user7', 'user0', 'user4']"
1539392692,user4,"['user8', 'user7']"
1539393085,user0,"['user2', 'user4', 'user8']"
1539393856,user3,"['user7', 'user6']"
1539394167,user6,"['user4', 'user2']"
1539394516,user3,"['user2', 'user4', 'user5', 'user7', 'user6']"
1539394754,user4,"['user0', 'user3', 'user8', 'user1', 'user2', 'user7', 'user9']"
1539395055,user2,"['user0', 'user9', 'user8', 'user6', 'user1', 'user5', 'user4']"
1539395729,user9,"['user4', 'user7']"
1539395988,user8,"['user2', 'user4']"
1539396430,user6,"['user7', 'user8', 'user3', 'user2']"
1539397402,user8,"['user7', 'user2']"
1539398017,user9,"['user2', 'user0', 'user6', 'user4']"
1539398318,user3,"['user1', 'user9', 'user8', 'user5', 'user6']"
1539398764,user5,['user3']
1539399257,user0,"['user7', 'user4']"
1539399680,user8,"['user3', 'user2']"
1539399753,user5,"['user1', 'user9', 'user7']"
1539400049,user0,"['user9', 'user7', 'user4']"
1539400536,user3,"['user9', 'user6']"
1539400916,user3,"['user7', 'user0', 'user8', 'user2', 'user6']"
1539401742,user3,"['user2', 'user5', 'user6']"
1539401961,user7,"['user1', 'user4', 'user6', 'user2']"
1539402898,user2,"['user5', 'user0', 'user6', 'user3', 'user4']"
1539402956,user9,"['user2', 'user6']"
1539403117,user4,"['user8', 'user3', 'user7', 'user5']"
1539403748,user8,"['user0', 'user2']"
1539404470,user3,"['user8', 'user4', 'user2', 'user6']"
1539405312,user9,"['user3', 'user0', 'user6']"
1539406007,user1,['user8']
1539406978,user3,"['user4', 'user0', 'user6']"
1539407397,user9,"['user6', 'user5']"
1539408126,user4,['user6']
1539408275,user7,"['user8', 'user4', 'user3', 'user9', 'user2', 'user6']"
1539408423,user8,"['user9', 'user3', 'user2', 'user5', 'user0']"
1539409222,user3,"['user9', 'user6', 'user4', 'user1', 'user5']"
1539409631,user3,"['user8', 'user6', 'user5', 'user9', 'user4']"
1539410390,user1,"['user9', 'user7', 'user2']"
1539411064,user0,"['user9', 'user4', 'user8']"
1539411088,user0,"['user9', 'user5', 'user8', 'user4']"
1539411295,user8,"['user1', 'user0', 'user3', 'user6', 'user9', 'user2']"
1539411442,user3,"['user8', 'user0', 'user1', 'user6']"
1539411871,user6,"['user1', 'user0', 'user2']"
1539412656,user8,"['user4', 'user5', 'user3', 'user6', 'user2']"
1539413150,user5,"['user9', 'user7', 'user0', 'user1', 'user2']"
1539413826,user8,"['user9', 'user4', 'user2']"
1539414365,user1,"['user5', 'user8']"
1539414667,user0,"['user9', 'user7', 'user1']"
1539415182,user6,"['user9', 'user5', 'user2', 'user0', 'user4', 'user7']"
1539415459,user6,"['user3', 'user2']"
1539416314,user4,"['user7', 'user0', 'user6']"
1539416618,user0,"['user5', 'user8', 'user4']"
1539417224,user8,"['user9', 'user7', 'user2', 'user4']"
1539417527,user2,"['user5', 'user4', 'user3']"
1539417906,user5,"['user9', 'user7']"
1539418444,user4,"['user1', 'user3', 'user7']"
1539419131,user7,"['user3', 'user8', 'user0']"
1539419360,user4,"['user8', 'user6', 'user7']"
1539419823,user2,"['user9', 'user3', 'user8', 'user1', 'user7', 'user0', 'user4']"
1539420478,user0,"['user1', 'user9', 'user5', 'user2', 'user4']"
1539421138,user2,"['user7', 'user0', 'user9', 'user4']"
1539421982,user4,"['user0', 'user2', 'user8', 'user1', 'user5', 'user9', 'user7', 'user6']"
1539422519,user1,"['user9', 'user4', 'user2']"
1539423105,user4,"['user8', 'user3', 'user1']"
1539423791,user2,"['user9', 'user4', 'user7', 'user5', 'user3']"
1539424739,user6,"['user9', 'user5', 'user2']"
1539425649,user4,"['user5', 'user0', 'user2', 'user7', 'user8']"
1539426552,user1,"['user6', 'user4']"
1539426905,user2,"['user7', 'user1']"
1539427382,user6,"['user4', 'user8', 'user1', 'user2']"
1539428332,user5,"['user9', 'user2']"
1539428556,user1,"['user3', 'user5', 'user9', 'user6', 'user2']"
1539429441,user5,"['user8', 'user4', 'user9', 'user7']"
1539430342,user0,"['user8', 'user4']"
1539431101,user5,"['user0', 'user9', 'user1', 'user4', 'user2']"
1539431669,user1,"['user5', 'user4', 'user7', 'user8']"
1539432148,user8,"['user3', 'user9', 'user2']"
1539432888,user9,"['user2', 'user1']"
1539433420,user6,"['user4', 'user2']"
1539434325,user0,"['user3', 'user4']"
1539434827,user9,"['user5', 'user1', 'user8', 'user2', 'user4']"
1539435817,user1,"['user9', 'user6', 'user3', 'user7', 'user2', 'user4', 'user8']"
1539435944,user8,"['user4', 'user6', 'user2', 'user7', 'user9']"
1539436733,user8,"['user1', 'user7', 'user4', 'user9', 'user0', 'user2']"
1539436760,user6,"['user2', 'user8', 'user0', 'user5', 'user7', 'user1', 'user9']"
1539437145,user1,['user7']
1539437761,user7,"['user1', 'user2', 'user3', 'user0', 'user8', 'user9', 'user5', 'user4']"
1539437990,user9,"['user1', 'user3', 'user6', 'user5', 'user8', 'user7', 'user0']"
1539438811,user8,"['user7', 'user2']"
1539439653,user0,"['user9', 'user4']"
1539439747,user0,"['user3', 'user8', 'user4']"
1539439787,user9,['user2']
1539440522,user8,"['user1', 'user0', 'user3', 'user4', 'user9', 'user2']"
1539441456,user3,"['user8', 'user0', 'user5', 'user6']"
1539441645,user6,"['user7', 'user5', 'user0', 'user2']"
1539441718,user1,"['user6', 'user3', 'user7']"
1539441927,user7,"['user0', 'user8', 'user5', 'user2', 'user9']"
1539442174,user8,"['user0', 'user7', 'user1', 'user9', 'user3', 'user6', 'user2']"
1539443142,user8,"['user2', 'user5', 'user6']"
1539443690,user4,"['user7', 'user5', 'user0', 'user3', 'user1', 'user2', 'user6']"
1539443967,user2,"['user0', 'user7', 'user5', 'user9', 'user1', 'user8', 'user4', 'user6']"
1539444696,user4,"['user9', 'user1']"
1539445430,user2,['user0']
1539445932,user6,['user2']
1539446906,user2,"['user4', 'user8', 'user6', 'user9']"
1539446952,user2,"['user1', 'user9', 'user3', 'user6']"
1539447815,user6,"['user3', 'user2']"
1539448597,user5,"['user4', 'user0', 'user3', 'user9']"
1539449361,user3,"['user0', 'user7', 'user5', 'user1', 'user6']"
1539449794,user8,"['user1', 'user4', 'user9', 'user2', 'user0', 'user3', 'user6']"
1539450322,user1,"['user0', 'user5']"
1539451069,user8,"['user6', 'user0', 'user2']"
1539451352,user8,"['user6', 'user2']"
1539452270,user2,"['user0', 'user8', 'user4']"
1539453066,user2,"['user5', 'user1', 'user8']"
1539454010,user0,"['user2', 'user4']"
1539454190,user7,"['user0', 'user8']"
1539454493,user8,"['user7', 'user0', 'user2']"
1539455416,user9,"['user1', 'user5', 'user3', 'user4']"
1539455975,user6,"['user0', 'user2']"
1539456970,user3,"['user0', 'user8', 'user9', 'user7', 'user6']"
1539457929,user0,"['user8', 'user7', 'user6', 'user4']"
1539458726,user9,"['user8', 'user0', 'user4', 'user2']"
1539458811,user8,"['user2', 'user4']"
1539459273,user3,"['user0', 'user1', 'user6']"
1539460211,user8,"['user0', 'user6', 'user2', 'user9', 'user5', 'user3']"
1539460790,user8,"['user9', 'user5', 'user4', 'user7', 'user2', 'user6']"
1539461680,user0,"['user3', 'user9', 'user6', 'user4', 'user7', 'user2']"
1539462072,user3,"['user8', 'user0', 'user2', 'user4', 'user7', 'user1', 'user9', 'user6']"
1539463065,user4,"['user2', 'user3', 'user5', 'user8', 'user7']"
1539463879,user3,"['user8', 'user2', 'user9', 'user5', 'user6']"
1539464092,user8,"['user4', 'user2', 'user9', 'user0']"
1539464955,user9,"['user7', 'user6', 'user3', 'user2']"
1539465128,user3,"['user5', 'user7', 'user8', 'user1', 'user6']"
1539465249,user3,"['user1', 'user8', 'user2', 'user5', 'user6']"
1539466079,user8,"['user0', 'user9', 'user2']"
1539466602,user8,"['user6', 'user4', 'user2']"
1539467362,user7,"['user8', 'user0', 'user5', 'user4']"
1539467996,user8,"['user3', 'user9', 'user2']"
1539468961,user8,"['user1', 'user2']"
1539469958,user8,"['user0', 'user6', 'user2']"
1539470058,user1,"['user6', 'user9']"
1539470507,user2,"['user4', 'user0', 'user8', 'user7', 'user1', 'user3', 'user6']"
1539470547,user9,"['user6', 'user7', 'user3']"
1539471419,user8,"['user5', 'user3', 'user6', 'user4', 'user0', 'user1', 'user2']"
1539472322,user2,"['user9', 'user5', 'user6', 'user0', 'user4']"
1539472551,user8,"['user9', 'user0', 'user7', 'user4', 'user2', 'user1']"
1539473074,user9,"['user2', 'user3', 'user4']"
1539474018,user1,"['user9', 'user3']"
1539474035,user2,"['user7', 'user0', 'user5', 'user3', 'user1', 'user4']"
1539474303,user0,"['user2', 'user4']"
1539474576,user0,"['user6', 'user1', 'user4', 'user8', 'user5', 'user7']"
1539475011,user5,"['user0', 'user6', 'user1', 'user7']"
1539475783,user2,"['user6', 'user4']"
1539476041,user0,"['user7', 'user6', 'user4']"
1539476957,user0,"['user7', 'user2', 'user4']"
1539477710,user5,"['user7', 'user4', 'user3', 'user0']"
1539478461,user1,['user3']
1539478597,user5,['user9']
1539479451,user4,"['user6', 'user9', 'user3']"
1539479840,user8,"['user2', 'user3']"
1539480230,user3,"['user8', 'user6', 'user1', 'user2', 'user7', 'user5', 'user4']"
1539480472,user7,"['user9', 'user2', 'user5', 'user0', 'user6']"
1539481018,user9,"['user4', 'user2', 'user0', 'user6', 'user5']"
1539481498,user2,"['user9', 'user8', 'user6', 'user4', 'user1', 'user5', 'user7']"
1539482481,user8,"['user1', 'user6', 'user3', 'user4', 'user5']"
1539482636,user2,"['user3', 'user7', 'user1', 'user4', 'user6', 'user8']"
1539483168,user1,"['user7', 'user9']"
1539484020,user2,"['user7', 'user4', 'user3', 'user1']"
1539484731,user1,"['user2', 'user7']"
1539485140,user4,"['user0', 'user9', 'user5']"
1539485546,user6,"['user5', 'user0', 'user7', 'user2']"
1539485642,user3,"['user9', 'user2', 'user6']"
1539486329,user9,"['user8', 'user3', 'user4', 'user6', 'user1', 'user7', 'user0']"
1539486483,user0,"['user3', 'user7', 'user4', 'user6']"
1539486579,user9,"['user0', 'user6', 'user3', 'user5']"
1539487181,user3,"['user2', 'user5', 'user6']"
1539487813,user7,"['user6', 'user9', 'user8', 'user5']"
1539488067,user5,"['user6', 'user8', 'user4']"
1539489011,user7,"['user3', 'user9', 'user8', 'user2']"
1539489961,user8,"['user9', 'user1', 'user2']"
1539490748,user3,"['user0', 'user2', 'user6']"
1539490908,user0,"['user4', 'user5', 'user9']"
1539491354,user9,"['user5', 'user2', 'user0', 'user1']"
1539491674,user5,"['user8', 'user4', 'user9']"
1539492099,user0,"['user1', 'user6', 'user7', 'user9', 'user4']"
1539492652,user6,"['user9', 'user7', 'user4', 'user3', 'user2']"
1539493503,user0,"['user1', 'user3', 'user8', 'user6', 'user7', 'user4']"
1539493536,user1,"['user4', 'user8', 'user5']"
1539493752,user0,"['user5', 'user6', 'user4']"
1539493947,user0,"['user4', 'user3', 'user1', 'user8']"
1539494779,user2,"['user6', 'user4']"
1539494798,user7,"['user6', 'user1', 'user3', 'user4', 'user9']"
1539494946,user5,"['user9', 'user1', 'user3']"
1539494999,user5,"['user0', 'user1', 'user3', 'user8', 'user7']"
1539495646,user5,"['user9', 'user6', 'user7']"
1539496171,user6,"['user5', 'user2']"
1539496679,user8,"['user6', 'user2']"
1539496945,user2,"['user0', 'user7', 'user3', 'user4']"
1539497190,user5,"['user2', 'user9']"
1539497465,user9,"['user5', 'user0', 'user1', 'user8']"
1539497776,user4,"['user7', 'user8', 'user5']"
1539498742,user3,"['user9', 'user6', 'user4', 'user2', 'user8']"
1539498846,user2,"['user6', 'user7', 'user8', 'user0', 'user9', 'user4']"
1539499603,user2,"['user0', 'user9', 'user5', 'user4']"
1539500164,user3,"['user6', 'user4', 'user8']"
1539501060,user1,"['user6', 'user0', 'user8', 'user9']"
1539501595,user1,"['user9', 'user6', 'user4', 'user5', 'user2', 'user7']"
1539502135,user0,"['user1', 'user5', 'user8', 'user4']"
1539502210,user6,"['user5', 'user9', 'user0', 'user8', 'user2']"
1539503118,user8,"['user4', 'user1', 'user3', 'user2']"
1539503163,user3,"['user6', 'user0', 'user8', 'user9', 'user7']"
1539504161,user1,['user8']
1539504282,user6,"['user8', 'user4', 'user0', 'user2']"
1539504983,user3,"['user1', 'user2', 'user6']"
1539505680,user6,"['user9', 'user5', 'user2', 'user7']"
1539506324,user8,"['user6', 'user1', 'user2']"
1539506902,user4,"['user0', 'user5']"
1539507154,user8,"['user0', 'user2', 'user7']"
1539507782,user8,"['user7', 'user9', 'user2']"
1539507944,user6,"['user0', 'user3', 'user4', 'user9', 'user2']"
1539508025,user0,"['user2', 'user1', 'user5', 'user6', 'user4']"
1539508637,user7,"['user8', 'user0', 'user4', 'user6', 'user3']"
1539508722,user8,"['user4', 'user9', 'user1', 'user2']"
1539509421,user7,"['user2', 'user3', 'user6']"
1539510087,user8,"['user0', 'user9', 'user2']"
1539510228,user6,"['user0', 'user5', 'user1', 'user3', 'user7', 'user2']"
1539510644,user1,['user6']
1539511593,user7,"['user5', 'user1']"
1539512230,user3,"['user0', 'user8', 'user2', 'user6']"
1539513149,user2,"['user8', 'user6', 'user5', 'user4']"
1539513928,user1,"['user9', 'user4', 'user6', 'user7', 'user2', 'user0', 'user3', 'user5']"
1539514678,user9,"['user5', 'user4']"
1539515326,user0,"['user7', 'user9', 'user4']"
1539515866,user1,"['user2', 'user7', 'user4', 'user5', 'user9', 'user0']"
1539516689,user6,"['user3', 'user1', 'user4', 'user5', 'user2']"
1539517348,user0,"['user6', 'user4', 'user3', 'user5', 'user8', 'user7', 'user1']"
1539517860,user0,"['user5', 'user7', 'user4', 'user9']"
1539518815,user5,"['user8', 'user2', 'user9', 'user7']"
1539518861,user9,"['user1', 'user3']"
1539519227,user0,"['user2', 'user9', 'user6', 'user4']"
1539519960,user6,"['user2', 'user0', 'user9', 'user7']"
1539520436,user1,"['user4', 'user8', 'user0']"
1539521275,user2,"['user9', 'user4', 'user5', 'user8', 'user7', 'user0']"
1539522147,user3,"['user0', 'user9', 'user6', 'user2', 'user5']"
1539522161,user3,"['user1', 'user0', 'user8', 'user9', 'user4', 'user2', 'user7', 'user6']"
1539522312,user3,"['user9', 'user0']"
1539522819,user3,"['user7', 'user1', 'user6']"
1539523506,user8,"['user3', 'user2']"
1539523802,user6,"['user0', 'user8', 'user3', 'user2']"
1539524529,user2,"['user0', 'user1', 'user9', 'user4']"
1539524692,user7,['user5']
1539525543,user9,"['user1', 'user4']"
1539525716,user7,"['user5', 'user2', 'user6']"
1539526477,user7,"['user3', 'user1', 'user8', 'user0']"
1539527327,user2,"['user5', 'user6', 'user9', 'user1', 'user0', 'user4']"
1539527365,user1,"['user7', 'user4', 'user8', 'user2', 'user3', 'user5', 'user6']"
